VideoID,Problems/Challenges
1,"vanity light misalignment, buried receptacle issues, panel security risks, preventing theft of breakers, customer not returning for trim out"
2,"ensuring proper wire gauge for load, choosing correct box type for installations, maintaining code compliance with outlet spacing, handling tight spaces during installation, navigating obstacles like doorways and windows"
5,"Limited understanding of basic electrical theory, Demand for leadership roles exceeds student preparation, Need for comprehensive knowledge of various electrical fields, Safety concerns in electrical work, Connecting theory with practical internship experience"
6,"underlighting an area, overlighting an area, difficult outlet placement, hidden outlet accessibility, overhead lighting shadows, lack of clarity on future needs, difficulty accessing wire locations post-drywall"
7,"working in cold conditions, risk of electrical shock, identifying wire connections, ensuring proper breaker compatibility, not taking shortcuts with wiring"
11,"oxidation issues with aluminum wiring, air sealing around wires, circuit overload on 15 amp circuits, sound transmission between rooms"
12,"tight working space in a shed, avoiding screw interference with wires, cutting pipes accurately, managing pipe bends and angles"
13,"traditional construction is inefficient, high labor costs, environmental impact"
14,"denting when used improperly, blunting from cutting unsuitable materials"
15,"complicated wiring setups, ensuring safety with off wires, protecting circuits with GFI, managing multiple switches"
16,"missing electrical items during walkthroughs, poor lighting in garages, hard to access breaker box, disorganized electrical layout, unplanned outlet placements, furniture blocking outlets"
17,"need for nail guards near penetrations, checking compliance with changing codes, ensuring secure wiring within 12 inches, seal penetrations to avoid damage, overcrowding of wires in penetrations"
18,"uncertain connections with marettes, damaged cords near the plug, difficulty in stripping wire sheathing, poor connections from using wrong wire orientation"
20,"wire management in boxes, alignment issues with tile, proper identification of wires"
22,"ensuring boxes are aligned accurately, preventing debris from entering pipes"
23,"lack of foundational knowledge, transitioning into apprenticeships"
24,"struggled in high school, need for relevant learning"
27,"identifying purpose of various boxes, ensuring all lights are straight"
31,"lack of training for repairs, fear of doing electrical work without qualifications, regulatory limitations on DIY repairs"
33,"Understanding electrical plan components, Customizing layout accurately"
34,"Valuing unseen work, Balancing pride and cost"
36,"high demand for skilled workers, not enough students to fill jobs, different learning levels among students"
37,"difficulty in generating leads, financial management, material purchasing costs, seasonal fluctuations, overextension in projects, lack of knowledge on specific jobs, relationships with suppliers"
39,"underestimating project costs, losing track of room specifications, failing to account for all circuits and openings"
41,"difficulty fitting boxes in walls, managing wire lengths"
44,"identifying circuit breakers, ensuring safety while working"
49,"dealing with new challenges, keeping everyone on the same page, managing power outages"
50,"missing AFCI breakers in the panel, tripped 40 amp breaker, incorrect wire gauge for breaker, grounding rod not installed deep enough and loose"
51,"installing switch upside down, removing incorrect insulation amount"
53,"Discrepancy in concrete yardage calculation, Potential overestimation of material needs"
54,"risk of house fires, potential for electrical hazards, unsafe living conditions"
57,"meeting aggressive schedules, managing project complexity and scope"
61,"routing conduit without elevation, water leakage"
62,"cutting tile accurately, cleaning up cut edges"
64,"unsafe wiring without a box, time-consuming wire management, difficult access in tight spaces"
66,"meter installed too high, absence of shut off"
68,"ensuring fire safety, maintaining organization, passing inspections"
71,"risk of electrical shock during maintenance, injuries from rotating parts, hazards from improper clothing, inadequate guarding of equipment"
72,"ensuring code compliance, aligning with environmental considerations"
76,"lack of dedicated circuit for air conditioners, old homes with outdated wiring, difficulty in running wiring through closed walls, challenging wall systems complicating installation"
80,"proper wire termination, compliance with codes"
84,"ensuring proper labeling of circuits, protecting cables during installation, avoiding interference with fastening through electrical raceways"
85,issues found during hot checks
87,"unlabeled circuit panel, risk of disrupting services"
89,"confirming electrical items with homeowner, determining outlet needs in garage, ensuring proper lighting in master bath, managing steam exhaust, correct placement of TV locations, spacing of switches"
91,"gas line identification issues, unexpected sand presence"
92,"cables getting pinched, disorganized cable layout"
99,"Difficulty in installing gangable boxes, Managing multiple types of conduit fittings, Aligning connectors with existing wall structures, Handling rigidity of MC cable in tight spaces, Complexity in mounting brackets and covers, Potential corrosion issues with EMT"
100,"working on energized switchboards, risk of electric shock, risk of arc flash, interaction with live cables, damaging cables during installation, risk from using cutting tools"
106,"aligning pipe with obstructions, calculating multipliers, spacing before installation"
109,"growing in a competitive market, meeting diversity requirements, acquiring skilled electricians"
112,"current COVID pandemic restrictions, need for reliable internet access, highly competitive field for electrical apprentices"
120,"missing bonding terminal bar, inadequate securing of the meter mask, insufficient working space around electrical panel, non-compliant receptacles in bathrooms, GFCI not tripping"
122,"finding unlabelled breakers, false positives during scanning"
124,"homes lacking modern electrical protection, inspections of older electrical systems"
125,"shoddy workmanship, improper mechanical execution, use of extension cords, wires being damaged by sheetrockers"
127,"old outlet replacement, asbestos siding handling"
128,"debate on pigtailing vs through wiring, device dependence for downstream load, additional wires as failure points, short wires in older homes, back stab quick connects failure risk"
133,"missing electrical details in plans, failure to communicate specific requirements"
136,"cutting oneself, scoring the wire, accidental nicks"
139,"tight project deadlines, fitting issues at job site, weather-related distractions, safety risks in the field, rapid market changes"
140,limitations of single level vial
141,"difficulty of holding wires, trouble with conventional soldering"
142,"infrastructure upgrades for EV charging stations, electric load capacity limitations, long installation timelines for utilities, finding proper locations for distribution panels"
148,"apprentices often show up late, apprentices may be distracted, different styles from various journeymen, apprentices feeling overwhelmed and confused, quality of tools can be poor"
149,"annoying thumb screw, difficulty adjusting ruler"
150,"use of damaged equipment, lack of safety awareness, failure to check equipment condition"
156,"dark pantry, limited lighting options"
157,"estimating real-world installation time, training new or less experienced workers"
162,"students struggling to understand concepts, surprises on the job site"
163,"complex logistical challenges, delivering projects on time, project budget management"
165,lack of experience with hot wion method
167,"broken mass hat, loose tie backs, no insulation over power lines, water intrusion risk"
169,"need for change in the electrical industry, evaluating training effectiveness, adapting training to contractor needs, communicating industry standards"
171,"normal overhead percentage not applied, difficulty in calculating overhead per job"
174,"ensuring proper cable height, avoiding cutting into cables"
175,"damaged copper wire, overheating connectors"
178,"ensuring structural integrity of studs, complying with building codes, safety of Romex during drilling, potential failure during inspection"
179,"refilling issues with plasterboard, maintaining a tidy workspace"
185,"Lack of prior electrical experience, Attendance affecting progress, Difficulty in understanding wiring diagrams, Physical demands of the job"
186,"need for broad knowledge of construction processes, managing subcontractors and suppliers, understanding different installation methods, compliance with building codes"
187,"wires getting tangled, moisture in the pipe, need for sufficient suction, cutting wires while pulling, ensuring airtight seal"
188,"debate on stacking multiple conductors under staples, choosing the right type of box for installations, understanding loads for single receptacles, confusion between GFI and GFCI terminology, distinguishing between toggle and decor switches"
190,"cut hole too big, box set too deep, didn't allow for 5/8 drywall"
192,"personal preference for outlet placement, fitting GFI in standard vs. larger boxes"
193,"customer scheduling, timeliness in service, transparent pricing"
197,"finding the best option for circuit installation, accessing attic space"
199,"leaking panel, water intrusion"
