VideoID,Problem_Challenge
1,vanity light misalignment
1,buried receptacle issues
1,panel security risks
1,preventing theft of breakers
1,customer not returning for trim out
2,ensuring proper wire gauge for load
2,choosing correct box type for installations
2,maintaining code compliance with outlet spacing
2,handling tight spaces during installation
2,navigating obstacles like doorways and windows
5,Limited understanding of basic electrical theory
5,Demand for leadership roles exceeds student preparation
5,Need for comprehensive knowledge of various electrical fields
5,Safety concerns in electrical work
5,Connecting theory with practical internship experience
6,underlighting an area
6,overlighting an area
6,difficult outlet placement
6,hidden outlet accessibility
6,overhead lighting shadows
6,lack of clarity on future needs
6,difficulty accessing wire locations post-drywall
7,working in cold conditions
7,risk of electrical shock
7,identifying wire connections
7,ensuring proper breaker compatibility
7,not taking shortcuts with wiring
11,oxidation issues with aluminum wiring
11,air sealing around wires
11,circuit overload on 15 amp circuits
11,sound transmission between rooms
12,tight working space in a shed
12,avoiding screw interference with wires
12,cutting pipes accurately
12,managing pipe bends and angles
13,traditional construction is inefficient
13,high labor costs
13,environmental impact
14,denting when used improperly
14,blunting from cutting unsuitable materials
15,complicated wiring setups
15,ensuring safety with off wires
15,protecting circuits with GFI
15,managing multiple switches
16,missing electrical items during walkthroughs
16,poor lighting in garages
16,hard to access breaker box
16,disorganized electrical layout
16,unplanned outlet placements
16,furniture blocking outlets
17,need for nail guards near penetrations
17,checking compliance with changing codes
17,ensuring secure wiring within 12 inches
17,seal penetrations to avoid damage
17,overcrowding of wires in penetrations
18,uncertain connections with marettes
18,damaged cords near the plug
18,difficulty in stripping wire sheathing
18,poor connections from using wrong wire orientation
20,wire management in boxes
20,alignment issues with tile
20,proper identification of wires
22,ensuring boxes are aligned accurately
22,preventing debris from entering pipes
23,lack of foundational knowledge
23,transitioning into apprenticeships
24,struggled in high school
24,need for relevant learning
27,identifying purpose of various boxes
27,ensuring all lights are straight
31,lack of training for repairs
31,fear of doing electrical work without qualifications
31,regulatory limitations on DIY repairs
33,Understanding electrical plan components
33,Customizing layout accurately
34,Valuing unseen work
34,Balancing pride and cost
36,high demand for skilled workers
36,not enough students to fill jobs
36,different learning levels among students
37,difficulty in generating leads
37,financial management
37,material purchasing costs
37,seasonal fluctuations
37,overextension in projects
37,lack of knowledge on specific jobs
37,relationships with suppliers
39,underestimating project costs
39,losing track of room specifications
39,failing to account for all circuits and openings
41,difficulty fitting boxes in walls
41,managing wire lengths
44,identifying circuit breakers
44,ensuring safety while working
49,dealing with new challenges
49,keeping everyone on the same page
49,managing power outages
50,missing AFCI breakers in the panel
50,tripped 40 amp breaker
50,incorrect wire gauge for breaker
50,grounding rod not installed deep enough and loose
51,installing switch upside down
51,removing incorrect insulation amount
53,Discrepancy in concrete yardage calculation
53,Potential overestimation of material needs
54,risk of house fires
54,potential for electrical hazards
54,unsafe living conditions
57,meeting aggressive schedules
57,managing project complexity and scope
61,routing conduit without elevation
61,water leakage
62,cutting tile accurately
62,cleaning up cut edges
64,unsafe wiring without a box
64,time-consuming wire management
64,difficult access in tight spaces
66,meter installed too high
66,absence of shut off
68,ensuring fire safety
68,maintaining organization
68,passing inspections
71,risk of electrical shock during maintenance
71,injuries from rotating parts
71,hazards from improper clothing
71,inadequate guarding of equipment
72,ensuring code compliance
72,aligning with environmental considerations
76,lack of dedicated circuit for air conditioners
76,old homes with outdated wiring
76,difficulty in running wiring through closed walls
76,challenging wall systems complicating installation
80,proper wire termination
80,compliance with codes
84,ensuring proper labeling of circuits
84,protecting cables during installation
84,avoiding interference with fastening through electrical raceways
85,issues found during hot checks
87,unlabeled circuit panel
87,risk of disrupting services
89,confirming electrical items with homeowner
89,determining outlet needs in garage
89,ensuring proper lighting in master bath
89,managing steam exhaust
89,correct placement of TV locations
89,spacing of switches
91,gas line identification issues
91,unexpected sand presence
92,cables getting pinched
92,disorganized cable layout
99,Difficulty in installing gangable boxes
99,Managing multiple types of conduit fittings
99,Aligning connectors with existing wall structures
99,Handling rigidity of MC cable in tight spaces
99,Complexity in mounting brackets and covers
99,Potential corrosion issues with EMT
100,working on energized switchboards
